AvgEpLen,InvPendulum_mu3_higher,TimestepsSoFar,ReturnMean,DenMISEMeanLog,GridSize,DenMISELogFirst,Bound,InvPendulum_mu2_higher,ReturnMin,InvPendulum_mu1_higher,Iteration,IWMax,IWLastEpisode,ReturnLastEpisode,InvPendulum_std2_higher,IWMean,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,Regret,Delta,NumTrainableParams,IWMin,Regret/t,NumTrajectories,TimeElapsed,InvPendulum_std1_higher,ReturnAbsMax,MinEpLen,BoundBonus,DenMISELogLast,IWFirstEpisode,BoundMISE,ReturnMax,InvPendulum_std0_higher
72.64814814814815,0.2,3923,-152.58994,9.2621355,81,6.7518654,inf,-0.2,-499.12744,,54,,,-115.69465,0.01,,0.01,-0.2046107,-0.2,8509.856,5.084873e-07,,,157.58994,54,22.196527004241943,0.01,499.12744,13,inf,8.458795,,,-87.80425,0.01
71.6,-0.2,3938,-151.82928,9.266679,81,6.733516,inf,,-499.12744,,55,,,-110.75372,0.01,,0.01,-0.3537947,-0.2,8625.61,4.9016495e-07,,,156.82928,55,22.671875953674316,0.01,499.12744,13,inf,10.502853,,,-87.80425,0.01
72.16071428571429,,4041,-150.82788,9.212941,81,6.715498,inf,,-499.12744,,56,,,-95.75161,0.01,,0.01,-0.21670254,-0.2,8726.361,4.7281532e-07,,,155.82788,56,23.22559094429016,0.01,499.12744,13,inf,7.248413,,,-87.80425,0.01
79.66666666666667,0.2,4541,-155.71327,9.187969,81,6.6977983,inf,,-499.12744,,57,,,-429.29547,0.01,,0.01,0.007988572,-0.2,9160.656,4.563709e-07,,,160.71327,57,24.38146710395813,0.01,499.12744,13,inf,8.780642,,,-87.80425,0.01
83.79310344827586,-0.2,4860,-160.03539,9.152917,81,6.6804066,inf,0.2,-499.12744,,58,,,-406.3956,0.01,,0.01,-0.1883434,-0.2,9572.053,4.4076967e-07,,,165.03539,58,25.196797847747803,0.01,499.12744,13,inf,8.146312,,,-87.80425,0.01
82.69491525423729,,4879,-159.19028,9.131658,81,6.663312,inf,0.2,-499.12744,,59,,,-110.17416,0.01,,0.01,-0.011105217,-0.2,9687.227,4.259549e-07,,,164.19028,59,25.675257444381714,0.01,499.12744,13,inf,8.890076,,,-87.80425,0.01
81.8,0.2,4908,-158.60692,9.0564,81,6.646505,inf,0.2,-499.12744,,60,,,-124.18802,0.01,,0.01,0.17578705,-0.2,9816.415,4.1187477e-07,,,163.60692,60,26.17973518371582,0.01,499.12744,13,inf,5.6078763,,,-87.80425,0.01
80.75409836065573,-0.2,4926,-157.8771,9.048516,81,6.629976,inf,-0.2,-499.12744,,61,,,-114.088585,0.01,,0.01,-0.37749267,,9935.504,3.984813e-07,,,162.8771,61,26.676684856414795,0.01,499.12744,13,inf,9.5671625,,,-87.80425,0.01
79.83870967741936,,4950,-157.15974,9.047015,81,6.613715,inf,-0.2,-499.12744,,62,,,-113.400276,0.01,,0.01,-0.19909862,,10053.904,3.8573074e-07,,,162.15974,62,27.191293239593506,0.01,499.12744,13,inf,9.947392,,,-87.80425,0.01
79.0,0.2,4977,-156.43329,9.030027,81,6.597715,inf,-0.2,-499.12744,,63,,,-111.393364,0.01,,0.01,0.0071043223,,10170.297,3.735825e-07,,,161.43329,63,27.713317394256592,0.01,499.12744,13,inf,8.968792,,,-87.80425,0.01
78.03125,-0.2,4994,-155.76091,9.034234,81,6.5819664,inf,,-499.12744,,64,,,-113.401665,0.01,,0.01,-0.17176624,,10288.698,3.6199927e-07,,,160.76091,64,28.18382978439331,0.01,499.12744,13,inf,10.291425,,,-87.80425,0.01
77.0923076923077,,5011,-154.98932,9.014123,81,6.566462,inf,,-499.12744,,65,,,-105.60725,0.01,,0.01,0.0056049037,,10399.306,3.5094652e-07,,,159.98932,65,28.672610998153687,0.01,499.12744,13,inf,8.719224,,,-87.80425,0.01
76.66666666666667,0.2,5060,-154.82016,9.004051,81,6.5511947,inf,,-499.12744,,66,,,-143.82582,0.01,,0.01,0.19268875,,10548.131,3.4039232e-07,,,159.82016,66,29.18911337852478,0.01,499.12744,13,inf,9.341805,,,-87.80425,0.01
76.95522388059702,-0.2,5156,-155.41647,9.007913,81,6.5361567,inf,0.2,-499.12744,,67,,,-194.77165,0.01,,0.01,0.018818453,,10747.903,3.3030722e-07,,,160.41647,67,29.745043992996216,0.01,499.12744,13,inf,10.255267,,,-87.80425,0.01
76.16176470588235,,5179,-154.81953,8.967045,81,6.521342,inf,0.2,-499.12744,,68,,,-114.82455,0.01,,0.01,0.20469548,,10867.729,3.206637e-07,,,159.81953,68,30.243245363235474,0.01,499.12744,13,inf,7.2215266,,,-87.80425,0.01
75.30434782608695,0.2,5196,-154.17805,8.944446,81,6.506743,inf,0.2,-499.12744,,69,,,-110.55801,0.01,,0.01,0.39667127,,10983.286,3.1143645e-07,,,159.17805,69,30.710447549819946,0.01,499.12744,13,inf,8.400425,,,-87.80425,0.01
74.51428571428572,-0.2,5216,-153.6313,8.9305,81,6.4923544,inf,-0.2,-499.12744,,70,,,-115.90525,0.01,,0.01,-0.19697693,0.2,11104.191,3.0260182e-07,,,158.6313,70,31.195499658584595,0.01,499.12744,13,inf,8.961091,,,-87.80425,0.01
73.67605633802818,,5231,-152.9735,8.912314,81,6.4781694,inf,-0.2,-499.12744,,71,,,-106.92677,0.01,,0.01,0.011086464,0.2,11216.118,2.9413786e-07,,,157.9735,71,31.674011707305908,0.01,499.12744,13,inf,8.632271,,,-87.80425,0.01
72.93055555555556,0.2,5251,-152.41808,8.881664,81,6.4641833,inf,-0.2,-499.12744,,72,,,-112.98384,0.01,,0.01,0.22545154,0.2,11334.102,2.8602412e-07,,,157.41808,72,32.17749261856079,0.01,499.12744,13,inf,7.698397,,,-87.80425,0.01
72.23287671232876,-0.2,5273,-151.92511,8.867883,81,6.45039,inf,,-499.12744,,73,,,-116.43067,0.01,,0.01,-0.021867022,0.2,11455.533,2.7824152e-07,,,156.92511,73,32.64028763771057,0.01,499.12744,13,inf,8.86878,,,-87.80425,0.01
71.54054054054055,,5294,-151.34819,8.851443,81,6.4367843,inf,,-499.12744,,74,,,-109.2338,0.01,,0.01,0.14607282,0.2,11569.767,2.707723e-07,,,156.34819,74,33.15491509437561,0.01,499.12744,13,inf,8.6445875,,,-87.80425,0.01
71.46666666666667,0.2,5360,-151.3712,8.802125,81,6.4233613,inf,,-499.12744,,75,,,-153.0737,0.01,,0.01,0.43750787,0.2,11727.84,2.6359982e-07,,,156.3712,75,33.73140907287598,0.01,499.12744,13,inf,6.145845,,,-87.80425,0.01
70.8157894736842,-0.2,5382,-150.95364,8.763491,81,6.410116,inf,0.2,-499.12744,,76,,,-119.63656,0.01,,0.01,0.19484231,0.2,11852.477,2.5670863e-07,,,155.95364,76,34.27604341506958,0.01,499.12744,13,inf,6.859372,,,-87.80425,0.01
70.0909090909091,,5397,-150.41724,8.760899,81,6.397044,inf,0.2,-499.12744,,77,,,-109.650696,0.01,,0.01,0.3642574,0.2,11967.127,2.5008418e-07,,,155.41724,77,34.77072525024414,0.01,499.12744,13,inf,9.557346,,,-87.80425,0.01
69.53846153846153,0.2,5424,-150.01219,8.724375,81,6.3841405,inf,0.2,-499.12744,,78,,,-118.823715,0.01,,0.01,0.5988002,0.2,12090.951,2.4371286e-07,,,155.01219,78,35.29522705078125,0.01,499.12744,13,inf,6.905576,,,-87.80425,0.01
68.9367088607595,,5446,-149.61165,8.700781,81,6.371402,inf,-0.2,-499.12744,0.2,79,,,-118.36844,0.01,,0.01,-0.21144111,-0.2,12214.32,2.3758197e-07,,,154.61165,79,35.821595907211304,0.01,499.12744,13,inf,7.8541517,,,-87.80425,0.01
68.3,-0.2,5464,-149.08025,8.680878,81,6.358823,inf,,-499.12744,0.2,80,,,-107.10045,0.01,,0.01,-0.18859404,-0.2,12326.42,2.3167952e-07,,,154.08025,80,36.333425998687744,0.01,499.12744,13,inf,8.1022,,,-87.80425,0.01
67.71604938271605,,5485,-148.51346,8.681259,81,6.3464003,inf,,-499.12744,0.2,81,,,-103.169655,0.01,,0.01,-0.028783588,-0.2,12434.59,2.2599437e-07,,,153.51346,81,36.84544897079468,0.01,499.12744,13,inf,9.705599,,,-87.80425,0.01
67.10975609756098,0.2,5503,-147.99937,8.660778,81,6.3341303,inf,,-499.12744,0.2,82,,,-106.35807,0.01,,0.01,0.20148242,-0.2,12545.948,2.2051593e-07,,,152.99937,82,37.34622287750244,0.01,499.12744,13,inf,7.995657,,,-87.80425,0.01
66.72289156626506,,5538,-147.81104,8.654025,81,6.322009,inf,0.2,-499.12744,0.2,83,,,-132.3687,0.01,,0.01,0.18481964,-0.2,12683.316,2.1523427e-07,,,152.81104,83,37.87403440475464,0.01,499.12744,13,inf,9.094255,,,-87.80425,0.01
66.17857142857143,-0.2,5559,-147.32028,8.650185,81,6.310033,inf,-0.2,-499.12744,0.2,84,,,-106.58874,0.01,,0.01,-0.2051784,,12794.904,2.1014014e-07,,,152.32028,84,38.40999150276184,0.01,499.12744,13,inf,9.325462,,,-87.80425,0.01
65.5764705882353,,5574,-146.87418,8.638558,81,6.298198,inf,-0.2,-499.12744,0.2,85,,,-109.39981,0.01,,0.01,-0.013694568,,12909.305,2.052248e-07,,,151.87418,85,38.932360887527466,0.01,499.12744,13,inf,8.656041,,,-87.80425,0.01
65.02325581395348,0.2,5592,-146.48413,8.628293,81,6.2865024,inf,-0.2,-499.12744,0.2,86,,,-113.329445,0.01,,0.01,0.20196502,,13027.635,2.0047987e-07,,,151.48413,86,39.432575941085815,0.01,499.12744,13,inf,8.749918,,,-87.80425,0.01
64.50574712643679,-0.2,5612,-146.11581,8.629969,81,6.2749414,inf,,-499.12744,0.2,87,,,-114.440674,0.01,,0.01,0.052279204,,13147.075,1.9589761e-07,,,151.11581,87,39.90906476974487,0.01,499.12744,13,inf,9.768265,,,-87.80425,0.01
64.0,,5632,-145.6384,8.596335,81,6.2635126,inf,,-499.12744,0.2,88,,,-104.10332,0.01,,0.01,0.20410983,,13256.179,1.9147068e-07,,,150.6384,88,40.425944566726685,0.01,499.12744,13,inf,6.66457,,,-87.80425,0.01
63.46067415730337,0.2,5648,-145.26257,8.537632,81,6.252213,inf,,-499.12744,0.2,89,,,-112.191154,0.01,,0.01,0.36758602,,13373.369,1.8719217e-07,,,150.26257,89,40.9905526638031,0.01,499.12744,13,inf,4.3660913,,,-87.80425,0.01
