IWFirstEpisode,InvPendulum_std3_higher,ReturnLastEpisode,MinEpLen,IWMean,DenMISEMeanLog,Iteration,ReturnMean,InvPendulum_mu0_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BoundMISE,Bound,Regret/t,DenMISELogLast,ReturnAbsMax,IWLastEpisode,TimestepsSoFar,TimeElapsed,IWMin,AvgEpLen,IWMax,Regret,NumTrainableParams,GridSize,BoundBonus,InvPendulum_std2_higher,ReturnMin,NumTrajectories,Delta,InvPendulum_mu1_higher,DenMISELogFirst,ActionIn1,InvPendulum_mu3_higher,InvPendulum_std0_higher,ReturnMax
,0.0009999999,-491.6691,12,,19.278559,37,-138.51158,-0.2,0.2,0.0009999999,,inf,143.51158,19.686012,491.6691,,2050,13.980632066726685,,55.4054054054054,,5309.9287,,81,inf,0.0009999999,-491.6691,37,1.0830892e-06,-0.2,19.740837,-0.20113231,,0.0009999999,-99.912834
,0.0009999999,-128.30157,12,,19.253494,38,-138.2429,,-0.2,0.0009999999,,inf,143.2429,19.312817,491.6691,,2084,14.576404809951782,,54.8421052631579,,5443.2305,,81,inf,0.0009999999,-491.6691,38,1.0268345e-06,-0.2,19.714169,-0.6010907,-0.2,0.0009999999,-99.912834
,0.0009999999,-122.94795,12,,19.229532,39,-137.85074,,-0.2,0.0009999999,,inf,142.85074,19.30609,491.6691,,2117,15.176878213882446,,54.282051282051285,,5571.1787,,81,inf,0.0009999999,-491.6691,39,9.748514e-07,-0.2,19.688194,-0.39920646,,0.0009999999,-99.912834
,0.0009999999,-124.53616,12,,19.155132,40,-137.51787,,-0.2,0.0009999999,,inf,142.51787,17.240932,491.6691,,2145,15.765995264053345,,53.625,,5700.715,,81,inf,0.0009999999,-491.6691,40,9.267181e-07,-0.2,19.662876,-0.20022601,0.2,0.0009999999,-99.912834
,0.0009999999,-125.71045,12,,19.116905,41,-137.22987,,,0.0009999999,,inf,142.22987,18.575556,491.6691,,2173,16.368322372436523,,53.0,,5831.425,,81,inf,0.0009999999,-491.6691,41,8.820637e-07,-0.2,19.638184,-0.39399767,-0.2,0.0009999999,-99.912834
,0.0009999999,-96.95007,12,,18.99271,42,-136.27083,,,0.0009999999,,inf,141.27083,14.888711,491.6691,,2240,17.025959730148315,,53.333333333333336,,5933.375,,81,inf,0.0009999999,-491.6691,42,8.405606e-07,-0.2,19.614086,-0.19842646,,0.0009999999,-96.95007
,0.0009999999,-499.5182,12,,18.938446,43,-144.71846,,,0.0009999999,,inf,149.71846,17.647617,499.5182,,2740,18.329078197479248,,63.72093023255814,,6437.8936,,81,inf,0.0009999999,-499.5182,43,8.019195e-07,-0.2,19.590555,-0.0002361834,0.2,0.0009999999,-96.95007
,0.0009999999,-499.97495,12,,18.916315,44,-152.79247,,0.2,0.0009999999,,inf,157.79247,18.95319,499.97495,,3240,19.712281703948975,,73.63636363636364,,6942.8687,,81,inf,0.0009999999,-499.97495,44,7.658827e-07,-0.2,19.567566,-0.20288925,-0.2,0.0009999999,-96.95007
,0.0009999999,-113.30513,12,,18.887966,45,-151.91498,,0.2,0.0009999999,,inf,156.91498,18.629427,499.97495,,3268,20.301763772964478,,72.62222222222222,,7061.174,,81,inf,0.0009999999,-499.97495,45,7.3222174e-07,-0.2,19.545094,-0.00087608944,,0.0009999999,-96.95007
,0.0009999999,-121.602036,12,,18.881544,46,-151.256,,0.2,0.0009999999,,inf,156.256,19.581644,499.97495,,3294,20.863319158554077,,71.6086956521739,,7187.776,,81,inf,0.0009999999,-499.97495,46,7.0073213e-07,-0.2,19.523113,0.20026167,0.2,0.0009999999,-96.95007
