IWMin,Iteration,MountainCar_std0_higher,GridSize,DenMISELogFirst,DenMISELogLast,IWMean,ActionIn1,Bound,NumTrainableParams,AvgEpLen,ReturnAbsMax,MountainCar_std1_higher,MountainCar_mu0_higher,IWMax,ReturnMax,MinEpLen,IWLastEpisode,ReturnStepMax,ReturnMin,DenMISEMeanLog,IWFirstEpisode,NumTrajectories,ReturnLastEpisode,Regret,TimestepsSoFar,TimeElapsed,ReturnMean,Regret/t,MountainCar_mu1_higher,Delta
,878,0.14999999,400,-4.8713984,-2.9486356,1.1605759,-3.748728,45.48103,,907.6981776765376,13.278829,0.14999999,-0.7894737,123.73261,12.822414,185,,132.42879,-13.278829,-3.398044,,878,-4.1285977,5330.2944,796959,1519.5588710308075,-1.0709505,6.0709505,-2.631579,3.943052e-09
,879,0.14999999,400,-4.8725367,-4.3625236,1.1887224,9.166943,45.472927,,907.80204778157,13.278829,0.14999999,-0.57894737,106.2422,12.822414,185,,132.42879,-13.278829,-3.3990202,,879,-1.4521372,5336.7466,797958,1521.5448603630066,-1.0713841,6.071384,10.0,3.9340855e-09
,880,0.14999999,400,-4.8736734,-2.9254885,1.1631088,0.6658639,45.386215,,907.2125,13.278829,0.14999999,1.0,407.6694,12.822414,185,,132.42879,-13.278829,-3.3983228,7.4768154e-14,880,0.23273401,5341.5137,798347,1523.2805137634277,-1.0699022,6.0699024,-0.5263158,3.925149e-09
,881,0.14999999,400,-4.8748093,-3.9911823,0.84242517,-2.8470464,45.37372,,907.316685584563,13.278829,0.14999999,-0.05263158,123.26509,12.822414,185,,132.42879,-13.278829,-3.3989792,,881,-4.5429263,5351.0566,799346,1525.3499491214752,-1.0738442,6.073844,-2.631579,3.9162438e-09
,882,0.14999999,400,-4.8759437,-3.0820692,0.8930868,-0.13453153,45.374332,,907.4206349206349,13.278829,0.14999999,0.05263158,117.767746,12.822414,185,,132.42879,-13.278829,-3.3988438,6.739188,882,-0.020937921,5356.0776,800345,1527.3025434017181,-1.0726506,6.0726504,-0.5263158,3.907368e-09
,883,0.14999999,400,-4.869465,-3.4980326,0.9661548,-4.709574,45.373337,,907.5243488108721,13.278829,0.14999999,-0.05263158,123.29554,12.822414,185,,132.42879,-13.278829,-3.3991203,,883,-0.13385412,5361.2114,801344,1529.2063744068146,-1.0715872,6.071587,-4.736842,3.898523e-09
,884,0.14999999,400,-4.870597,-2.8063865,1.0485177,-5.6397634,45.375523,,907.6278280542987,13.278829,0.14999999,-0.05263158,121.68758,12.822414,185,1.1927046e-08,132.42879,-13.278829,-3.3985415,,884,-0.01330747,5366.2246,802343,1531.0892531871796,-1.0703901,6.07039,-5.7894735,3.8897077e-09
,885,0.14999999,400,-4.8717275,-2.805528,1.2233613,-9.931621,45.377155,,907.7310734463276,13.278829,0.14999999,0.05263158,122.14311,12.822414,185,,132.42879,-13.278829,-3.3978705,,885,-0.05441615,5371.2793,803342,1533.0750815868378,-1.0692421,6.069242,-10.0,3.8809223e-09
,886,0.14999999,400,-4.8728566,-3.2513406,0.8969519,-4.0273995,45.376953,,907.8340857787811,13.278829,0.14999999,-0.05263158,123.48635,12.822414,185,,132.42879,-13.278829,-3.397525,,886,-0.015528152,5376.295,804341,1535.1109113693237,-1.0680528,6.068053,-3.6842105,3.8721666e-09
,887,0.14999999,400,-4.873985,-2.8793762,0.92809016,-7.732326,45.37927,,907.9368658399098,13.278829,0.14999999,-0.05263158,119.20619,12.822414,185,,132.42879,-13.278829,-3.3971052,,887,-0.22531852,5381.52,805340,1537.0837631225586,-1.0671028,6.067103,-7.894737,3.8634407e-09
,888,0.14999999,400,-4.8751116,-4.0385222,0.77011436,-1.5379562,45.376617,,908.0394144144144,13.278829,0.14999999,-0.05263158,122.34836,12.822414,185,,132.42879,-13.278829,-3.3979552,1.18107685e-17,888,-0.021564031,5386.5415,806339,1539.1248712539673,-1.0659254,6.0659256,-1.5789474,3.8547445e-09
,889,0.14999999,400,-4.876237,-2.7609851,0.90662074,-8.955375,45.378407,,908.1417322834645,13.278829,0.14999999,-0.05263158,124.302505,12.822414,185,,132.42879,-13.278829,-3.3975317,,889,-0.006388533,5391.548,807338,1541.0675802230835,-1.0647335,6.0647335,-8.947369,3.8460772e-09
,890,0.14999999,400,-4.8773613,-2.882495,1.1871214,-6.6550527,45.377968,,908.2438202247191,13.278829,0.14999999,-0.05263158,124.09943,12.822414,185,,132.42879,-13.278829,-3.3971043,,890,-0.015825078,5396.564,808337,1543.0696468353271,-1.063555,6.063555,-6.8421054,3.837439e-09
,891,0.14999999,400,-4.8784842,-3.4027076,0.99476755,2.1459184,45.374977,,908.3456790123457,13.278829,0.14999999,-0.05263158,113.76931,12.822414,185,,132.42879,-13.278829,-3.396965,,891,-0.005070839,5401.569,809336,1545.0338127613068,-1.062367,6.062367,2.631579,3.82883e-09
,892,0.14999999,400,-4.8796062,-4.127572,1.0002273,1.6784587,45.374573,,908.4473094170404,13.278829,0.14999999,-0.05263158,122.548744,12.822414,185,9.502064e-05,132.42879,-13.278829,-3.3978353,4.2037604e-27,892,-0.14684832,5406.716,810335,1547.095027923584,-1.0613406,6.0613403,1.5789474,3.82025e-09
,893,0.14999999,400,-4.8807263,-2.8075895,1.1066535,4.872844,45.307343,,908.5487122060471,13.278829,0.14999999,-0.15789473,121.81676,12.822414,185,,132.42879,-13.278829,-3.3972213,,893,-0.007292755,5411.723,811334,1549.049029827118,-1.0601603,6.06016,4.736842,3.8116985e-09
,894,0.14999999,400,-4.8818455,-3.4442253,1.1329199,8.065446,45.301758,,908.5201342281879,13.278829,0.14999999,-1.0,213.2291,12.822414,185,,132.42879,-13.278829,-3.3972142,,894,0.0053957235,5416.718,812217,1551.0380928516388,-1.0589683,6.0589685,8.947369,3.803176e-09
,895,0.14999999,400,-4.8829637,-2.7304854,0.95680237,5.506557,45.29985,,907.8737430167598,13.278829,0.14999999,-0.36842105,117.14003,12.822414,185,,132.42879,-13.278829,-3.3964057,,895,1.6908803,5420.027,812547,1552.7349989414215,-1.0558959,6.055896,5.7894735,3.7946823e-09
,896,0.14999999,400,-4.8840804,-3.1953666,0.79004794,8.6358795,45.24798,,907.4341517857143,13.278829,0.14999999,-1.0,156.41827,12.822414,185,,132.42879,-13.278829,-3.3962727,,896,0.4909989,5424.536,813061,1554.4619109630585,-1.0541695,6.0541697,10.0,3.7862162e-09
,897,0.14999999,400,-4.8851957,-4.479491,0.9059852,9.849526,45.21623,,906.6321070234113,13.278829,0.14999999,0.05263158,99.7136,12.822414,185,1.6495533e-13,132.42879,-13.278829,-3.3977613,,897,12.143362,5417.3926,813249,1556.1104626655579,-1.0394565,6.0394564,10.0,3.7777794e-09
,898,0.14999999,400,-4.88631,-2.696224,1.2440168,9.924239,45.390854,,905.9320712694878,13.278829,0.14999999,-0.2631579,105.16574,12.822414,185,87.52762,132.42879,-13.278829,-3.3971174,,898,5.9119396,5416.4805,813527,1557.760112285614,-1.0317155,6.0317154,10.0,3.76937e-09
,899,0.14999999,400,-4.887423,-3.4616606,0.98568994,-10.147526,45.192673,,905.2625139043381,13.278829,0.14999999,-0.2631579,115.736115,12.822414,185,,132.42879,-13.278829,-3.3969753,,899,4.386885,5417.0938,813831,1559.4470851421356,-1.0256882,6.025688,-10.0,3.760989e-09
,900,0.14999999,400,-4.8885345,-2.7347457,1.1129576,5.629197,45.18,,905.3666666666667,13.278829,0.14999999,-1.0,195.92752,12.822414,185,,132.42879,-13.278829,-3.3962998,,900,-0.086160846,5422.1797,814830,1561.479369878769,-1.0246443,6.0246444,6.8421054,3.752637e-09
,901,0.14999999,400,-4.889645,-3.6059203,1.1825556,-0.8703381,45.163517,,905.1753607103219,13.278829,0.14999999,-0.2631579,112.591835,12.822414,185,,132.42879,-13.278829,-3.396496,43.267094,901,-2.2696488,5429.449,815563,1563.4998924732208,-1.026026,6.026026,-0.5263158,3.7443115e-09
,902,0.14999999,400,-4.8438506,-2.7657082,0.70421726,-6.2199388,45.16281,,905.2793791574279,13.278829,0.14999999,-0.36842105,122.31103,12.822414,185,,132.42879,-13.278829,-3.3956485,,902,-0.29929206,5434.749,816562,1565.430778503418,-1.0252204,6.0252204,-5.7894735,3.7360137e-09
,903,0.14999999,400,-4.844959,-3.1404862,0.7733315,6.324672,45.163097,,905.3831672203765,13.278829,0.14999999,-0.47368422,114.387695,12.822414,185,,132.42879,-13.278829,-3.3957245,,903,-0.67688406,5440.426,817561,1567.494765996933,-1.0248346,6.0248346,6.8421054,3.7277434e-09
,904,0.14999999,400,-4.8460655,-2.7860045,0.7642136,0.91160226,45.15438,,904.9955752212389,13.278829,0.14999999,0.2631579,124.97844,12.822414,185,,132.42879,-13.278829,-3.3953376,0.00011525811,904,-0.14129148,5445.567,818116,1569.2189917564392,-1.0238572,6.023857,0.5263158,3.719501e-09
,905,0.14999999,400,-4.847171,-2.8494642,1.0923336,-5.4360757,45.1544,,905.0994475138122,13.278829,0.14999999,0.2631579,119.6331,12.822414,185,,132.42879,-13.278829,-3.3950212,,905,-0.597911,5451.165,819115,1571.148225069046,-1.0233866,6.0233865,-5.7894735,3.7112855e-09
,906,0.14999999,400,-4.848275,-3.978717,0.7820871,-2.6381452,45.15357,,905.2030905077263,13.278829,0.14999999,-0.36842105,122.74279,12.822414,185,,132.42879,-13.278829,-3.3956146,,906,-0.04356832,5456.2085,820114,1573.282823085785,-1.0223051,6.022305,-2.631579,3.7030974e-09
,907,0.14999999,400,-4.8493786,-3.07758,0.7999517,-4.835748,45.155212,,905.3065049614113,13.278829,0.14999999,-0.36842105,123.87199,12.822414,185,,132.42879,-13.278829,-3.3955424,,907,-0.04901895,5461.2573,821113,1575.2715582847595,-1.021232,6.021232,-4.736842,3.694936e-09
,908,0.14999999,400,-4.8504806,-3.2186062,0.9915663,6.236614,45.142067,,905.409691629956,13.278829,0.14999999,0.2631579,124.97361,12.822414,185,,132.42879,-13.278829,-3.3956063,,908,-0.14654268,5466.404,822112,1577.2001509666443,-1.0202687,6.0202684,5.7894735,3.6868022e-09
,909,0.14999999,400,-4.851581,-3.2239711,0.9375531,-4.509331,45.13462,,905.5126512651265,13.278829,0.14999999,0.2631579,125.25317,12.822414,185,,132.42879,-13.278829,-3.3954797,,909,-0.33558586,5471.7397,823111,1579.13792014122,-1.0195155,6.0195155,-4.736842,3.6786945e-09
,910,0.14999999,400,-4.8526807,-2.7492187,1.1845905,2.6048808,45.128086,,905.6153846153846,13.278829,0.14999999,0.2631579,125.51175,12.822414,185,,132.42879,-13.278829,-3.394882,,910,-0.17484652,5476.9146,824110,1581.043875694275,-1.0185872,6.018587,2.631579,3.6706143e-09
,911,0.14999999,400,-4.853779,-4.838502,0.9267066,-9.012814,45.130142,,905.7178924259056,13.278829,0.14999999,-0.36842105,123.86248,12.822414,185,,132.42879,-13.278829,-3.3963246,,911,-0.2509607,5482.1655,825109,1583.1006634235382,-1.0177447,6.0177445,-8.947369,3.6625598e-09
,912,0.14999999,400,-4.854876,-3.0420039,0.9698711,0.98948896,45.114113,,905.8201754385965,13.278829,0.14999999,-0.36842105,124.92744,12.822414,185,,132.42879,-13.278829,-3.3960679,5.9275964e-27,912,-0.07964618,5487.245,826108,1585.0913243293762,-1.016716,6.016716,1.5789474,3.6545325e-09
,913,0.14999999,400,-4.855972,-3.3866568,1.1482671,-7.8300433,45.110603,,905.9222343921139,13.278829,0.14999999,0.2631579,124.42995,12.822414,185,,132.42879,-13.278829,-3.3961368,,913,-0.4129025,5492.658,827107,1587.1047325134277,-1.0160547,6.0160546,-7.894737,3.6465313e-09
,914,0.14999999,400,-4.8570666,-3.1396747,0.8458741,7.3304296,45.105995,,906.0240700218818,13.278829,0.14999999,-0.57894737,116.32408,12.822414,185,,132.42879,-13.278829,-3.395751,,914,-0.028860321,5497.6865,828106,1589.1179432868958,-1.0149746,6.0149746,7.894737,3.6385563e-09
,915,0.14999999,400,-4.85816,-2.6850739,1.1404071,3.731722,45.108368,,905.4032786885246,13.278829,0.14999999,-0.36842105,126.107574,12.822414,185,,132.42879,-13.278829,-3.3951786,,915,2.400167,5500.2866,828444,1590.8843109607697,-1.0112422,6.011242,3.6842105,3.6306076e-09
,916,0.14999999,400,-4.8592525,-3.2340827,1.0500962,2.4368844,45.109646,,905.5054585152839,13.278829,0.14999999,-0.36842105,125.99686,12.822414,185,6.0386624e-13,132.42879,-13.278829,-3.3949134,,916,-0.025729274,5505.3125,829443,1592.943065404892,-1.0101663,6.010166,2.631579,3.6226848e-09
,917,0.14999999,400,-4.8603435,-3.0420346,0.9384514,6.6081104,45.10787,,905.6074154852781,13.278829,0.14999999,0.7894737,141.331,12.822414,185,,132.42879,-13.278829,-3.394529,,917,-0.2518848,5510.5645,830442,1594.95196890831,-1.0093393,6.0093393,5.7894735,3.614788e-09
,918,0.14999999,400,-4.8614335,-2.8822348,1.031637,-2.6688573,45.081944,,905.7091503267974,13.278829,0.14999999,0.2631579,126.330864,12.822414,185,,132.42879,-13.278829,-3.394093,,918,-3.214201,5518.7783,831441,1597.0185546875,-1.0117413,6.011741,-2.631579,3.606917e-09
,919,0.14999999,400,-4.862522,-3.030326,0.9631377,-8.384286,45.08357,,905.8106637649619,13.278829,0.14999999,-0.36842105,123.28132,12.822414,185,,132.42879,-13.278829,-3.39371,,919,-0.016537104,5523.795,832440,1599.08265209198,-1.0106583,6.0106583,-7.894737,3.5990717e-09
,920,0.14999999,400,-4.86361,-2.8107738,1.0802697,-3.947658,45.062912,,905.9119565217392,13.278829,0.14999999,-0.36842105,125.30801,12.822414,185,,132.42879,-13.278829,-3.3931587,,920,-0.47588575,5529.271,833439,1601.1189165115356,-1.010077,6.010077,-3.6842105,3.5912517e-09
,921,0.14999999,400,-4.864696,-2.7904255,1.4451137,-8.913624,45.062786,,906.0130293159609,13.278829,0.14999999,0.2631579,126.67856,12.822414,185,,132.42879,-13.278829,-3.3924696,,921,-0.22611673,5534.497,834438,1603.21240234375,-1.0092258,6.009226,-8.947369,3.583457e-09
,922,0.14999999,400,-4.8657813,-3.0998573,1.1605294,-7.1187177,45.04965,,906.1138828633406,13.278829,0.14999999,-0.36842105,126.84975,12.822414,185,4.455983e-37,132.42879,-13.278829,-3.3917475,,922,-0.023454841,5539.5205,835437,1605.2924587726593,-1.0081567,6.008157,-6.8421054,3.5756882e-09
,923,0.14999999,400,-4.866865,-2.838009,1.101159,-1.9907649,45.022095,,906.2145178764897,13.278829,0.14999999,-0.36842105,126.56704,12.822414,185,,132.42879,-13.278829,-3.3910308,1.6930863e-17,923,-0.119574286,5544.64,836436,1607.40372300148,-1.0071939,6.007194,-1.5789474,3.5679444e-09
,924,0.14999999,400,-4.867948,-3.0023355,0.8180381,-9.571929,44.997368,,906.3149350649351,13.278829,0.14999999,0.36842105,123.64049,12.822414,185,,132.42879,-13.278829,-3.3905551,,924,-0.22905189,5549.869,837435,1609.40931558609,-1.0063518,6.006352,-10.0,3.560226e-09
,925,0.14999999,400,-4.8690295,-3.0244153,0.83043146,-1.8669426,44.92733,,906.4151351351352,13.278829,0.14999999,0.7894737,134.0047,12.822414,185,,132.42879,-13.278829,-3.390391,,925,-0.93005604,5555.7993,838434,1611.4642298221588,-1.0062693,6.0062695,-2.631579,3.5525323e-09
,926,0.14999999,400,-4.87011,-2.8141894,0.9943407,-6.9818444,44.920563,,906.5151187904968,13.278829,0.14999999,0.7894737,135.04385,12.822414,185,,132.42879,-13.278829,-3.3899906,,926,-2.2767622,5563.0757,839433,1613.4558165073395,-1.0076413,6.0076413,-7.894737,3.544863e-09
,927,0.14999999,400,-4.8711896,-3.441691,0.92100793,-0.38536662,44.884823,,906.6148867313916,13.278829,0.14999999,0.36842105,119.435715,12.822414,185,,132.42879,-13.278829,-3.3901055,0.012591918,927,-2.0494256,5570.1255,840432,1615.4797003269196,-1.0087652,6.008765,-0.5263158,3.5372194e-09
,928,0.14999999,400,-4.872254,-2.7564437,1.0267962,7.2417364,44.72159,,906.7144396551724,13.278829,0.14999999,0.2631579,121.876656,12.822414,185,,132.42879,-13.278829,-3.3895485,,928,-0.054687425,5575.18,841431,1617.5052967071533,-1.007737,6.007737,6.8421054,3.5296008e-09
,929,0.14999999,400,-4.873331,-2.923815,0.93952084,3.61187,44.696194,,906.8137782561895,13.278829,0.14999999,-1.0,162.6305,12.822414,185,,132.42879,-13.278829,-3.3890588,,929,-0.3117411,5580.4917,842430,1619.535721540451,-1.0069878,6.0069876,4.736842,3.5220062e-09
,930,0.14999999,400,-4.874407,-4.1528144,1.2506636,-1.1325876,44.66954,,906.9129032258064,13.278829,0.14999999,0.15789473,122.2961,12.822414,185,,132.42879,-13.278829,-3.389999,7.869645e-19,930,-2.5356297,5588.0273,843429,1621.5213718414307,-1.0086316,6.0086317,-1.5789474,3.5144359e-09
,931,0.14999999,400,-4.8754816,-3.4698424,1.0871089,-5.0253935,44.553772,,907.0118152524168,13.278829,0.14999999,0.7894737,134.47646,12.822414,185,,132.42879,-13.278829,-3.389876,,931,-0.21910629,5593.2466,844428,1623.5613932609558,-1.0077835,6.0077834,-5.7894735,3.5068903e-09
,932,0.14999999,400,-4.876555,-2.8619866,0.7032175,-6.5119495,44.550133,,907.1105150214593,13.278829,0.14999999,0.47368422,95.24588,12.822414,185,1.4807388e-09,132.42879,-13.278829,-3.389277,,932,-2.506783,5600.7534,845427,1625.5673315525055,-1.0093919,6.009392,-6.8421054,3.4993688e-09
,933,0.14999999,400,-4.8776274,-3.3664365,1.0530728,1.814647,44.53556,,907.2090032154341,13.278829,0.14999999,0.7894737,132.82613,12.822414,185,,132.42879,-13.278829,-3.3895955,2.1047877e-12,933,-0.8021931,5606.5557,846426,1627.5672585964203,-1.0091698,6.0091696,0.5263158,3.4918712e-09
,934,0.14999999,400,-4.878699,-4.3780675,0.96692324,3.831006,44.514805,,907.3072805139186,13.278829,0.14999999,0.05263158,117.384544,12.822414,185,,132.42879,-13.278829,-3.3906486,,934,-6.488057,5618.0435,847425,1629.503163576126,-1.0150359,6.0150356,3.6842105,3.484398e-09
,935,0.14999999,400,-4.879769,-3.1680815,1.1742318,-4.0027637,44.509026,,907.4053475935829,13.278829,0.14999999,0.7894737,136.20988,12.822414,185,,132.42879,-13.278829,-3.3904881,,935,-0.0039309096,5623.0474,848424,1631.4775075912476,-1.0139545,6.0139546,-4.736842,3.4769487e-09
,936,0.14999999,400,-4.880838,-2.839813,0.7580583,2.9988925,44.495,,907.5032051282051,13.278829,0.14999999,0.57894737,128.74773,12.822414,185,,132.42879,-13.278829,-3.389776,,936,-1.8986899,5629.9463,849423,1633.548635005951,-1.0148997,6.0148997,2.631579,3.4695236e-09
,937,0.14999999,400,-4.8819056,-2.9268568,1.1810243,-9.126251,44.4975,,907.6008537886873,13.278829,0.14999999,0.7894737,136.4244,12.822414,185,,132.42879,-13.278829,-3.3895714,,937,-0.7668783,5635.713,850422,1635.536565542221,-1.014635,6.014635,-10.0,3.4621217e-09
,938,0.14999999,400,-4.8829722,-2.953501,0.885537,0.17891353,44.49807,,907.6982942430703,13.278829,0.14999999,-0.15789473,118.8076,12.822414,185,,132.42879,-13.278829,-3.3889768,0.026898853,938,-2.3964186,5643.1094,851421,1637.5544879436493,-1.016108,6.016108,0.5263158,3.4547436e-09
,939,0.14999999,400,-4.8840094,-2.7841547,0.8559402,4.6864824,44.45257,,907.7955271565495,13.278829,0.14999999,-1.0,185.41263,12.822414,185,,132.42879,-13.278829,-3.388488,,939,-0.22995976,5648.3394,852420,1639.6403954029083,-1.0152708,6.0152707,5.7894735,3.447389e-09
,940,0.14999999,400,-4.8850737,-3.7178628,1.2897389,-7.991283,44.43567,,907.3414893617021,13.278829,0.14999999,1.0,260.77533,12.822414,185,,132.42879,-13.278829,-3.3890474,,940,-0.9941561,5654.3335,852901,1641.4326679706573,-1.0152484,6.0152483,-8.947369,3.4400582e-09
,941,0.14999999,400,-4.886137,-4.038462,0.92496824,8.120977,44.42664,,907.4388947927737,13.278829,0.14999999,0.7894737,133.97838,12.822414,185,,132.42879,-13.278829,-3.3895593,,941,-5.5125923,5664.846,853900,1643.6435387134552,-1.0200278,6.0200276,7.894737,3.4327505e-09
,942,0.14999999,400,-4.887199,-4.020077,0.6831566,-4.3863945,44.423676,,907.536093418259,13.278829,0.14999999,-1.0,158.57353,12.822414,185,,132.42879,-13.278829,-3.3903472,,942,-0.9378427,5670.784,854899,1645.7159156799316,-1.0199405,6.0199404,-3.6842105,3.4254664e-09
,943,0.14999999,400,-4.88826,-5.9315186,0.70176893,9.305275,44.425964,,907.6330858960763,13.278829,0.14999999,0.47368422,124.4538,12.822414,185,,132.42879,-13.278829,-3.3934186,,943,-2.0979362,5677.882,855898,1647.7531158924103,-1.0210837,6.021084,8.947369,3.4182053e-09
,944,0.14999999,400,-4.88932,-2.7507155,0.7504302,-7.6535172,44.39375,,907.729872881356,13.278829,0.14999999,-1.0,136.01453,12.822414,185,,132.42879,-13.278829,-3.3930824,,944,-0.428956,5683.311,856897,1649.82994389534,-1.0204564,6.0204563,-6.8421054,3.410967e-09
,945,0.14999999,400,-4.8903785,-2.844104,0.9389386,2.1810808,44.37292,,907.826455026455,13.278829,0.14999999,0.47368422,127.31076,12.822414,185,,132.42879,-13.278829,-3.3928046,1.2140358e-31,945,-1.4775167,5689.7886,857896,1651.8104639053345,-1.0209401,6.02094,1.5789474,3.4037517e-09
,946,0.14999999,400,-4.891436,-3.5439715,0.9880185,5.8516245,44.373905,,907.9228329809725,13.278829,0.14999999,0.7894737,137.76398,12.822414,185,,132.42879,-13.278829,-3.393067,,946,-0.55865574,5695.347,858895,1653.8510766029358,-1.0204514,6.0204515,4.736842,3.3965593e-09
,947,0.14999999,400,-4.892493,-4.825163,1.1439761,-0.84841204,44.36054,,908.0190073917635,13.278829,0.14999999,-0.47368422,124.17359,12.822414,185,,132.42879,-13.278829,-3.3946445,12.659964,947,-2.6740298,5703.021,859894,1655.9080085754395,-1.0221975,6.0221977,-0.5263158,3.3893897e-09
,948,0.14999999,400,-4.880268,-3.0738633,1.0373381,-10.215698,44.35931,,908.1149789029536,13.278829,0.14999999,-0.47368422,124.63238,12.822414,185,,132.42879,-13.278829,-3.3942077,,948,-0.10638402,5708.1274,860893,1657.9617969989777,-1.0212315,6.0212317,-10.0,3.3822427e-09
,949,0.14999999,400,-4.8813224,-2.8970492,1.8043532,9.794085,44.34897,,908.2107481559536,13.278829,0.14999999,1.0,394.70117,12.822414,185,,132.42879,-13.278829,-3.393692,,949,-0.06286671,5713.1904,861892,1660.1222803592682,-1.0202216,6.0202217,8.947369,3.3751186e-09
,950,0.14999999,400,-4.8823757,-3.240164,1.0158147,5.061528,44.28432,,908.3063157894737,13.278829,0.14999999,0.2631579,121.88996,12.822414,185,,132.42879,-13.278829,-3.3929405,,950,-3.1027606,5721.293,862891,1662.1990580558777,-1.0224137,6.0224137,4.736842,3.3680168e-09
,951,0.14999999,400,-4.8834276,-3.108065,0.81354,-3.2822666,44.282257,,908.4016824395374,13.278829,0.14999999,0.15789473,121.47754,12.822414,185,,132.42879,-13.278829,-3.3926675,,951,-0.14573547,5726.439,863890,1664.2903654575348,-1.021492,6.021492,-3.6842105,3.3609378e-09
,952,0.14999999,400,-4.884479,-2.8504488,1.0289375,-6.553358,44.2622,,908.4968487394958,13.278829,0.14999999,0.15789473,119.609146,12.822414,185,,132.42879,-13.278829,-3.3923247,,952,-0.5606956,5731.9995,864889,1666.3224215507507,-1.0210079,6.021008,-6.8421054,3.3538803e-09
,953,0.14999999,400,-4.8855286,-2.719359,0.9386436,-0.098124355,44.217556,,908.591815320042,13.278829,0.14999999,-0.68421054,126.3593,12.822414,185,,132.42879,-13.278829,-3.3916287,0.00036204146,953,-0.26529473,5737.2646,865888,1668.3704438209534,-1.0202149,6.020215,0.5263158,3.3468455e-09
,954,0.14999999,400,-4.886577,-3.3674715,1.1878172,2.0896518,44.21492,,908.6865828092243,13.278829,0.14999999,0.15789473,120.569496,12.822414,185,2.2211957e-16,132.42879,-13.278829,-3.391705,2.8225929e-28,954,-0.48928478,5742.754,866887,1670.4091868400574,-1.0196583,6.019658,1.5789474,3.3398326e-09
,955,0.14999999,400,-4.8876247,-3.5249083,1.1086812,-8.638837,44.209885,,908.7811518324608,13.278829,0.14999999,0.47368422,123.603935,12.822414,185,,132.42879,-13.278829,-3.391701,,955,-0.34623677,5748.1006,867886,1672.4188628196716,-1.0189532,6.0189533,-8.947369,3.3328422e-09
,956,0.14999999,400,-4.8886714,-3.1630557,0.8956736,-5.3227816,44.17215,,908.8755230125523,13.278829,0.14999999,0.47368422,120.11021,12.822414,185,,132.42879,-13.278829,-3.391399,,956,-0.6545608,5753.755,868885,1674.542810201645,-1.0185721,6.018572,-5.7894735,3.3258734e-09
,957,0.14999999,400,-4.8897166,-3.4536145,1.0182284,8.119878,44.09217,,908.969696969697,13.278829,0.14999999,-0.2631579,113.77208,12.822414,185,,132.42879,-13.278829,-3.3916109,,957,-1.4465466,5760.201,869884,1676.6314873695374,-1.0190192,6.019019,8.947369,3.3189267e-09
,958,0.14999999,400,-4.8907614,-3.1897407,1.2422048,-2.9847531,44.08962,,908.366388308977,13.278829,0.14999999,0.47368422,118.830605,12.822414,185,,132.42879,-13.278829,-3.3914208,,958,2.3370712,5762.8643,870215,1678.3261568546295,-1.015516,6.0155163,-3.6842105,3.3120013e-09
,959,0.14999999,400,-4.8918047,-2.9203491,0.9207293,6.350531,44.076504,,908.4608967674661,13.278829,0.14999999,0.47368422,126.063324,12.822414,185,,132.42879,-13.278829,-3.3907325,,959,-1.5155035,5769.38,871214,1680.32715177536,-1.0160375,6.0160375,5.7894735,3.3050978e-09
,960,0.14999999,400,-4.8928466,-2.7908115,0.8467176,5.3276963,44.035297,,908.5552083333333,13.278829,0.14999999,-0.57894737,112.13764,12.822414,185,1.1102003e-10,132.42879,-13.278829,-3.3902268,,960,-1.0921803,5775.472,872213,1682.3424706459045,-1.0161167,6.0161166,5.7894735,3.298216e-09
,961,0.14999999,400,-4.893888,-2.944241,1.1072298,-7.7359114,44.009438,,908.3881373569199,13.278829,0.14999999,0.47368422,124.286446,12.822414,185,,132.42879,-13.278829,-3.3899539,,961,-0.27222666,5780.744,872961,1684.2364082336426,-1.0153426,6.0153427,-7.894737,3.2913552e-09
,962,0.14999999,400,-4.894928,-4.1526585,1.2104021,-2.3694339,43.999138,,908.4823284823285,13.278829,0.14999999,0.47368422,126.24283,12.822414,185,,132.42879,-13.278829,-3.390684,,962,-0.5207827,5786.265,873960,1686.3170692920685,-1.0148284,6.0148287,-2.631579,3.284516e-09
,963,0.14999999,400,-4.895967,-3.2654157,0.85784256,-10.026636,43.99891,,908.5763239875389,13.278829,0.14999999,-1.0,224.2588,12.822414,185,,132.42879,-13.278829,-3.3903968,,963,-0.56336725,5791.828,874959,1688.3548891544342,-1.0143597,6.0143595,-8.947369,3.2776983e-09
,964,0.14999999,400,-4.8970046,-4.313409,0.9395205,-1.6473866,44.000668,,908.6701244813278,13.278829,0.14999999,-1.0,173.04012,12.822414,185,,132.42879,-13.278829,-3.3915553,0.00010573532,964,-2.5226152,5799.351,875958,1690.4713394641876,-1.0159243,6.0159245,-0.5263158,3.2709013e-09
,965,0.14999999,400,-4.8980412,-3.2247808,0.9291657,3.877653,43.95304,,908.7637305699482,13.278829,0.14999999,-0.57894737,125.78999,12.822414,185,,132.42879,-13.278829,-3.391502,,965,-2.0702798,5806.4214,876957,1692.527188539505,-1.0170169,6.017017,4.736842,3.2641256e-09
,966,0.14999999,400,-4.899077,-3.5710328,0.91502655,-2.4810276,43.89235,,908.8395445134576,13.278829,0.14999999,-1.0,203.73907,12.822414,185,,132.42879,-13.278829,-3.3918004,6.138748e-23,966,-0.9673652,5812.3887,877939,1694.6125934123993,-1.0169655,6.0169654,-1.5789474,3.2573713e-09
