IWMax,GridSize,MountainCar_std1_higher,Regret,DenMISEMeanLog,MountainCar_mu1_higher,IWLastEpisode,ReturnStepMax,NumTrajectories,DenMISELogFirst,Regret/t,ActionIn1,TimeElapsed,Iteration,MountainCar_std0_higher,IWMin,DenMISELogLast,ReturnMin,IWFirstEpisode,AvgEpLen,MinEpLen,MountainCar_mu0_higher,NumTrainableParams,Bound,ReturnLastEpisode,ReturnAbsMax,ReturnMax,TimestepsSoFar,Delta,IWMean,ReturnMean
4.37694,400,0.14999999,425.3919,-3.2824407,4.736842,,104.930954,67,-2.8082216,6.349133,5.161592,96.5399694442749,67,0.14999999,,-3.2763243,-9.574608,,896.7014925373135,254,0.36842105,,315473.84,-0.5207264,9.574608,5.47179,60079,6.771298e-07,0.06533985,-1.3491329
0.011372959,400,0.14999999,430.6754,-3.2942123,0.5263158,,104.930954,68,-2.8230367,6.3334618,0.31768912,98.0595555305481,68,0.14999999,,-3.1536021,-9.574608,0.0018411451,898.2058823529412,254,-0.36842105,,311579.53,-0.28349313,9.574608,5.47179,61078,6.5736054e-07,0.00022082079,-1.3334618
0.24395293,400,0.14999999,435.7594,-3.304973,-0.5263158,1.307567e-10,104.930954,69,-2.8376083,6.315354,-0.3498089,99.64541625976562,69,0.14999999,,-3.0441713,-9.574608,0.24395293,899.6666666666666,254,0.2631579,,66473.445,-0.08401931,9.574608,5.47179,62077,6.3844476e-07,0.0035477711,-1.3153539
0.03623363,400,0.14999999,441.09442,-3.3129861,-5.7894735,,104.930954,70,-2.8484678,6.3013487,-4.837075,101.23329544067383,70,0.14999999,,-2.8766518,-9.574608,,901.0857142857143,254,1.0,,29820.58,-0.33498356,9.574608,5.47179,63076,6.2033376e-07,0.0005176235,-1.3013487
0.044660717,400,0.14999999,449.19107,-3.318736,3.6842105,,104.930954,71,-2.8626525,6.326635,4.0563025,102.71738052368164,71,0.14999999,,-2.728821,-9.574608,,902.4647887323944,254,1.0,,29850.164,-3.0966773,9.574608,5.47179,64075,6.029826e-07,0.0006290246,-1.3266349
0.00026402678,400,0.14999999,455.70917,-3.349362,5.7894735,,104.930954,72,-2.8766387,6.329294,6.9505897,104.34411835670471,72,0.14999999,,-4.5313888,-9.574608,,903.8055555555555,254,1.0,,29879.297,-1.5181006,9.574608,5.47179,65074,5.863494e-07,3.822517e-06,-1.3292942
0.197031,400,0.14999999,469.92303,-3.3581114,-10.0,,104.930954,73,-2.8904321,6.4373016,-9.09006,105.84995174407959,73,0.14999999,,-2.9949632,-9.574608,,905.1095890410959,254,1.0,,29908.006,-9.213848,9.574608,5.47179,66073,5.703951e-07,0.0026991498,-1.4373018
0.1711562,400,0.14999999,478.93506,-3.3594668,-1.5789474,,104.930954,74,-2.9040377,6.4720955,-0.25641763,107.24343633651733,74,0.14999999,,-2.4678917,-9.574608,4.158283e-30,906.3783783783783,254,1.0,,29936.295,-4.0120425,9.574608,5.47179,67072,5.550832e-07,0.0023129233,-1.4720956
0.16737193,400,0.14999999,490.07764,-3.377446,10.0,,104.930954,75,-2.9174607,6.5343685,10.817463,108.79767203330994,75,0.14999999,,-3.7169094,-9.574608,,907.6133333333333,254,1.0,,29964.18,-6.1425486,9.574608,5.47179,68071,5.4037963e-07,0.0022316258,-1.5343683
0.55386406,400,0.14999999,500.5538,-3.3822792,7.894737,4.6766043e-37,104.930954,76,-2.930706,6.586234,8.8188,110.3259506225586,76,0.14999999,,-2.7535996,-9.574608,,908.8157894736842,254,1.0,,29991.662,-5.4761777,9.574608,5.47179,69070,5.262527e-07,0.0072876904,-1.5862341
