,IWLastEpisode,DenMISELogLast,IWMax,LQGmu1,URet,IWMean,SqrtESSClassic,IWFirstEpisode,MISE,ReturnStepMax,ReturnAbsMax,ReturnLastEpisode,Bound,TimeElapsed,IWNorm1,DenMISEMeanLog,IWMin,LQGsigma,ReturnMean,DenMISELogFirst,LQGmu01,IWNorm2,TimestepsSoFar,ReturnMin,target_sum_log_mean,ReturnMax,Iteration
50,22.195282000000002,6.7968850000000005,22.195282000000002,-0.512,18.87705731356597,0.65365136,1.3423365,,11.110822,0.9999904000000001,17.096804000000002,17.096804000000002,49.32062,179.9478349685669,33.336220000000004,11.802119,,0.11,11.96831,16.274117999999998,-0.056,24.834473000000003,1020,,-971.1717,17.096804000000002,51
51,,9.698903,2.3820723999999998,0.792,18.89229820442313,0.13374415,1.892841,,1.147883,0.9999904000000001,17.112585,17.112585,28.269947,183.48498606681824,6.954696,11.753374,,0.11,12.06724,16.254701999999998,0.107,3.6742105000000005,1040,,-647.11816,17.112585,52
52,,-13.180632999999998,2.3108148999999996,0.801,9.546722667015985,0.12830749,1.9001148,,1.1012307,0.9999904000000001,17.112585,8.708592,28.119469,186.5857553482056,6.8002970000000005,11.266711,,0.11,12.003869,16.235653,0.11,3.5788875,1060,,-640.30975,17.112585,53
53,17.748362,17.34473,17.748362,0.953,9.375653770177966,0.44967034,1.3432977,,3.8448078999999997,0.9999904000000001,17.112585,8.538309,42.062509999999996,190.50886487960813,24.282198,11.363256,,0.11,11.939691999999999,16.21696,0.185,18.076557,1080,,-662.2339999999999,17.112585,54
54,16.293041,11.040929,16.293041,0.955,9.349372726392524,0.6607143,1.6908162,,5.638523,0.9999904000000001,17.112585,8.511044,36.00123,196.935485124588,36.339287,11.346711,,0.11,11.877353,16.198612,0.186,21.492157000000002,1100,,-650.4314,17.112585,55
55,9.54695,12.86364,12.798035,0.956,9.383057760251702,0.710815,2.0176148,,6.0685296,0.9999904000000001,17.112585,8.54147,31.513306,201.86939430236816,39.805640000000004,11.36674,,0.11,11.817784,16.180593,0.187,19.72906,1120,,-638.7818,17.112585,56
56,4.2201667,13.906113000000001,10.603338,0.957,9.409009808961011,0.6813066999999999,2.246695,,5.819685,0.9999904000000001,17.112585,8.567618,28.670029,207.27201390266416,38.834484,11.405411,,0.11,11.760763,16.162893,0.188,17.28516,1140,,-627.4882,17.112585,57
57,6.3171754,13.196914000000001,9.097097,0.957,9.392598447524028,0.7107595999999999,2.5034267999999997,,6.072987599999999,0.9999904000000001,17.112585,8.550915,26.579978999999998,211.64676976203918,41.224056,11.430235,,0.11,11.705421000000001,16.145502,0.189,16.46705,1160,,-616.511,17.112585,58
58,4.7079,14.642309,7.999264,0.957,9.40278145585848,0.7191801999999999,2.7256663,,6.1467004,0.9999904000000001,17.112585,8.559267,24.981638,215.9017481803894,42.431633000000005,11.479289,,0.11,11.652096,16.128407,0.189,15.567435000000001,1180,,-605.8279,17.112585,59
59,4.785712,14.823628,7.163597,0.957,9.399662149469266,0.7361875,2.933893,,6.2936068,0.9999904000000001,17.112585,8.560322,23.791775,219.09327578544617,44.17125,11.529947,,0.11,11.600567,16.1116,0.189,15.055508999999999,1200,,-595.4576,17.112585,60
