InvPendulum_std0_higher,ReturnAbsMax,Regret,ActionIn1,IWMean,InvPendulum_mu0_higher,IWLastEpisode,Regret/t,TimestepsSoFar,InvPendulum_std1_higher,ReturnLastEpisode,IWMin,TimeElapsed,DenMISELogLast,InvPendulum_mu2_higher,Delta,InvPendulum_std2_higher,NumTrainableParams,MinEpLen,InvPendulum_mu1_higher,NumTrajectories,ReturnMax,DenMISELogFirst,Bound,Iteration,IWMax,IWFirstEpisode,AvgEpLen,GridSize,BoundBonus,InvPendulum_mu3_higher,BoundMISE,ReturnMean,DenMISEMeanLog,ReturnMin,ReturnStepMax,InvPendulum_std3_higher
0.0009999999,498.95383,7318.5176,-0.19880296,,0.2,,155.71313,3385,0.0009999999,-124.5815,,20.78599262237549,16.04692,-0.2,6.7123085e-07,0.0009999999,,15,-0.2,47,,19.203018,inf,47,,,72.02127659574468,81,inf,,,-150.71313,18.560585,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7438.629,-0.19891931,,0.2,,154.97144,3407,0.0009999999,-115.110916,,21.299986839294434,18.885933,,6.435543e-07,0.0009999999,,15,-0.2,48,,19.181965,inf,48,,,70.97916666666667,81,inf,-0.2,,-149.97144,18.54675,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7546.135,-0.001314669,,0.2,,154.00275,3435,0.0009999999,-102.50587,,21.877152681350708,17.230272,,6.175547e-07,0.0009999999,,15,-0.2,49,,19.161345,inf,49,,,70.10204081632654,81,inf,,,-149.00275,18.499683,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7739.9077,0.20532753,,0.2,,154.79816,3526,0.0009999999,-188.77338,,22.504714727401733,16.725313,,5.930996e-07,0.0009999999,,15,-0.2,50,,19.141142,inf,50,,,70.52,81,inf,0.2,,-149.79816,18.444397,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7917.535,0.19664122,,0.2,,155.24579,3600,0.0009999999,-172.62762,,23.07410764694214,16.416506,0.2,5.700688e-07,0.0009999999,,15,-0.2,51,,19.12134,inf,51,,,70.58823529411765,81,inf,,,-150.24579,18.38522,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8038.238,-0.5977062,,-0.2,,154.5815,3622,0.0009999999,-115.70237,,23.65350914001465,16.72391,-0.2,5.483539e-07,0.0009999999,,15,,52,,19.101921,inf,52,,,69.65384615384616,81,inf,-0.2,,-149.5815,18.334227,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8156.124,-0.3961906,,-0.2,,153.88913,3644,0.0009999999,-112.88646,,24.22403907775879,18.726337,-0.2,5.2785657e-07,0.0009999999,,15,,53,,19.082874,inf,53,,,68.75471698113208,81,inf,,,-148.88913,18.322937,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8267.87,-0.19854882,,-0.2,,153.1087,3658,0.0009999999,-106.745476,,24.774425268173218,17.642063,-0.2,5.084873e-07,0.0009999999,,14,,54,,19.064182,inf,54,,,67.74074074074075,81,inf,0.2,,-148.1087,18.291983,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8399.859,-0.4003983,,-0.2,,152.72473,3692,0.0009999999,-126.99038,,25.40192198753357,17.792065,,4.9016495e-07,0.0009999999,,14,,55,,19.045832,inf,55,,,67.12727272727273,81,inf,-0.2,,-147.72473,18.264877,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8510.008,-0.19830574,,-0.2,,151.96443,3782,0.0009999999,-105.14796,,26.15330147743225,16.273506,,4.7281532e-07,0.0009999999,,14,,56,,19.027813,inf,56,,,67.53571428571429,81,inf,,,-146.96443,18.211618,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,8967.558,-0.0014726073,,-0.2,,157.32558,4282,0.0009999999,-452.54965,,27.47097110748291,19.104906,,4.563709e-07,0.0009999999,,14,,57,,19.010115,inf,57,,,75.12280701754386,81,inf,0.2,,-152.32558,18.209902,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9139.544,-0.19717859,,-0.2,,157.57834,4356,0.0009999999,-166.98627,,28.047789096832275,19.063862,0.2,4.4076967e-07,0.0009999999,,14,,58,,18.992722,inf,58,,,75.10344827586206,81,inf,-0.2,,-152.57834,18.207535,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9256.997,-0.0034128376,,-0.2,,156.89825,4379,0.0009999999,-112.45294,,28.605785846710205,18.486277,0.2,4.259549e-07,0.0009999999,,14,,59,,18.975628,inf,59,,,74.22033898305085,81,inf,,,-151.89825,18.195454,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9368.082,0.20198107,,-0.2,,156.1347,4397,0.0009999999,-106.08525,,29.169068813323975,18.18152,0.2,4.1187477e-07,0.0009999999,,14,,60,,18.95882,inf,60,,,73.28333333333333,81,inf,0.2,,-151.1347,18.178694,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9482.259,-0.40051055,,,,155.44687,4412,0.0009999999,-109.176865,,29.72915768623352,18.440472,-0.2,3.984813e-07,0.0009999999,,14,,61,,18.942291,inf,61,,,72.32786885245902,81,inf,-0.2,,-150.44687,18.166729,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,9593.778,-0.19920972,,,,154.73836,4429,0.0009999999,-106.51916,,30.253018140792847,18.288206,-0.2,3.8573074e-07,0.0009999999,,14,,62,,18.926031,inf,62,,,71.43548387096774,81,inf,,,-149.73836,18.152689,-498.95383,498.95383,0.0009999999
