LQGmu1_higher,Delta,ReturnMax,Regret/t,IWMean,DenMISEMeanLog,ReturnMin,IWFirstEpisode,DenMISELogFirst,Iteration,ReturnAbsMax,LQGmu1_actor,ReturnStepMax,TimeElapsed,IWMax,ReturnMean,ReturnLastEpisode,LQGsigma_higher,Regret,Bound,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWMin
-0.14285715,4.1695958e-07,0.95581526,0.29411942,0.10103956,-0.6064712,,,-0.5896485,54,0.95581526,-0.12940273,0.9988446,611.3430094718933,5.453523,0.6710006,0.6652752,0.019873515,15.88245,36.797554,1080,,-0.6532473,
0.59183675,4.0193527e-07,0.95581526,0.28896064,0.8755476,-0.63343227,,,-0.6079976,55,0.95581526,0.5878835,0.9988446,622.6877627372742,23.726614,0.6761594,0.9547361,0.027547687,15.892834,36.83422,1100,,-1.1947358,
0.06122449,3.8770855e-07,0.95581526,0.29330212,0.14435494,-0.63156193,,,-0.62601614,56,0.95581526,0.045687612,0.9988446,634.2386512756348,7.408971,0.6718179,0.43303302,0.021563897,16.42492,36.76917,1120,,-0.2762477,
0.9591837,3.7422413e-07,0.95581526,0.28899962,1.1347142,-0.6510777,,,-0.6437157,57,0.95581526,0.99345237,0.9988446,646.0568382740021,18.467573,0.6761204,0.9170622,0.03818524,16.472977,36.79968,1140,,-0.8890483,
-0.2244898,3.6143112e-07,0.95581526,0.29837632,0.17726873,-0.64285177,,,-0.6611074,58,0.95581526,-0.20359449,0.9988446,657.5954177379608,7.8701844,0.6667437,0.13227281,0.021563897,17.305824,36.81135,1160,,-0.20378983,
-0.67346936,3.4928303e-07,0.95581526,0.2935214,0.74178624,-0.6609591,,3.1908684e-16,-0.67820185,59,0.95581526,-0.6525078,0.9988446,667.6375958919525,30.030035,0.6715986,0.9531805,0.027547687,17.317764,36.0089,1180,,-0.8876882,
0.5102041,3.377373e-07,0.95581526,0.28878838,0.5997956,-0.6649817,,,-0.695009,60,0.95581526,0.50810784,0.9988446,677.305321931839,29.191498,0.67633164,0.9555815,0.027547687,17.327301,36.001373,1200,,-0.53847647,
-0.59183675,3.2675467e-07,0.95581526,0.29199004,1.210103,-0.6678323,,1.741019e-29,-0.7115383,61,0.95581526,-0.58325815,0.9988446,687.045271396637,28.505972,0.67313,0.48102954,0.027547687,17.811394,35.779804,1220,,-0.35432217,
-0.10204082,3.162992e-07,0.95581526,0.28744024,0.6083477,-0.66317075,,,-0.7277988,62,0.95581526,-0.10729882,0.9988446,697.1849067211151,32.036476,0.6776798,0.9552194,0.02339806,17.821293,35.602943,1240,,-0.41016528,
0.42857143,3.0633765e-07,0.95581526,0.28305507,1.0729821,-0.6770821,,,-0.74379915,63,0.95581526,0.4470554,0.9988446,706.9254784584045,32.029068,0.68206495,0.95394546,0.027547687,17.83247,35.580887,1260,,-1.0519233,
