InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_std0_higher,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_mu2_higher,J,ReturnMean,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,ActionIn1,MinEpLen,StepSize,AvgRet,InvPendulum_mu0_higher,NumTrajectories,BatchSize,Iteration,ReturnMax,VarJ,InvPendulum_mu3_higher,InvPendulum_std3_higher
0.01,0.01,0.01,162976,-0.46764287,-0.10014903,-101.48929944148536,-101.68467303395883,0.13549088,42.88842105263158,0.19595177,-1.7174728,12,0.01,-101.48929944148536,-0.35609397,3800,100,38,-41.75718814401961,0.5098946044280064,-0.8027369,0.01
0.01,0.01,0.01,167205,-0.46862358,-0.09970706,-101.30797201567418,-101.67501403349,0.10925039,42.87307692307692,0.16627787,-1.7644296,12,0.01,-101.30797201567418,-0.35517374,3900,100,39,-41.75718814401961,0.6033225621556376,-0.8040918,0.01
0.01,0.01,0.01,171476,-0.46819428,-0.09887564,-101.09619760808475,-101.66054362285486,0.13340996,42.869,0.1814918,-1.7094493,12,0.01,-101.09619760808475,-0.35600784,4000,100,40,-41.75718814401961,0.7175120700914619,-0.8051843,0.01
0.01,0.01,0.01,175782,-0.46886542,-0.09754154,-102.58635069160945,-101.68312428306838,0.3118462,42.87365853658537,0.4117389,-1.7295115,12,0.01,-102.58635069160945,-0.3558193,4100,100,41,-41.75718814401961,0.5794396976700922,-0.80417037,0.01
0.01,0.01,0.01,179591,-0.46758336,-0.09552692,-101.64548755320928,-101.68222817045269,0.08549878,42.7597619047619,0.13982776,-1.7005644,12,0.01,-101.64548755320928,-0.35270086,4200,100,42,-41.75718814401961,0.5992143017067835,-0.8029352,0.01
0.01,0.01,0.01,183906,-0.46841717,-0.09481624,-102.08510859096734,-101.69159748255768,0.1749599,42.768837209302326,0.23700579,-1.7155548,12,0.01,-102.08510859096734,-0.35184586,4300,100,43,-41.75718814401961,0.28447039405885105,-0.8027807,0.01
0.01,0.01,0.01,188728,-0.47016677,-0.09521996,-100.42320665402734,-101.66277041827291,0.09462758,42.89272727272727,0.10217602,-1.6988158,12,0.01,-100.42320665402734,-0.35139802,4400,100,44,-41.75718814401961,1.2301934191365762,-0.8013,0.01
0.01,0.01,0.01,193337,-0.47009903,-0.09511339,-100.44505222722955,-101.6357100140275,0.15269776,42.96377777777778,0.17753814,-1.6848847,12,0.01,-100.44505222722955,-0.3523443,4500,100,45,-41.75718814401961,0.5915415001947872,-0.80093586,0.01
0.01,0.01,0.01,197532,-0.4698166,-0.09664036,-101.47102519629567,-101.63212990929419,0.30409425,42.94173913043478,0.31747493,-1.7406468,12,0.01,-101.47102519629567,-0.3531644,4600,100,46,-41.75718814401961,0.8715166777971778,-0.8006751,0.01
0.01,0.01,0.01,201347,-0.47027835,-0.0996813,-102.06475896855589,-101.64133478289551,0.11159775,42.839787234042554,0.15143949,-1.7285326,12,0.01,-102.06475896855589,-0.35333985,4700,100,47,-41.75718814401961,0.36318725270017505,-0.79990846,0.01
0.01,0.01,0.01,205399,-0.47039655,-0.10079728,-101.7367003150238,-101.64332156481485,0.06547596,42.79145833333333,0.09824392,-1.7147344,12,0.01,-101.7367003150238,-0.35232326,4800,100,48,-41.75718814401961,0.4466187133935987,-0.7998848,0.01
0.01,0.01,0.01,209741,-0.47095162,-0.10050344,-99.88328262307448,-101.60740240273851,0.10454129,42.80428571428571,0.16192222,-1.6902499,12,0.01,-99.88328262307448,-0.3516685,4900,100,49,-41.75718814401961,0.6517028135830719,-0.7995079,0.01
0.01,0.01,0.01,213633,-0.47157377,-0.09963266,-101.91471350814622,-101.61354862484667,0.15584676,42.7266,0.17143485,-1.6908057,12,0.01,-101.91471350814622,-0.3522879,5000,100,50,-41.75718814401961,0.5002185561264099,-0.7984625,0.01
