ReturnMin,SqrtESSClassic,ReturnLastEpisode,ReturnMax,LQGmu,URet,IWMin,IWFirstEpisode,LQGsigma,ReturnMean,DenMISELogFirst,Iteration,target_sum_log_mean,Bound,ReturnStepMax,IWMax,ReturnAbsMax,TimestepsSoFar,IWLastEpisode,TimeElapsed,DenMISEMeanLog,IWMean,IWNorm2,MISE,IWNorm1,DenMISELogLast
,2.5471447,16.699165,16.93874,[[-0.239]],18.455061335160796,,1.19368776e-23,[[0.11]],16.459026,16.592506,43,5.8503413,29.154964,0.9999906,12.887738,16.93874,860,6.3242946,6.99516487121582,15.561123,0.9431541,15.921995,15.854785,40.555626,14.851507
,2.4748406,16.803085,16.93874,[[-0.248]],18.571018887110064,,2.920651e-25,[[0.11]],16.466845,16.569517,44,5.0670605,31.042343,0.9999906,11.781874,16.93874,880,11.77874,7.171783685684204,15.521961,1.0321215,18.350008,17.353592,45.413345,13.943093
,2.1470942,16.917618,16.93874,[[-0.253]],18.687938929529285,,3.0950104e-30,[[0.11]],16.476862,16.547043,45,2.0887442,29.592388,0.9999906,11.799145,16.93874,900,4.39667,7.349117040634155,15.50206,0.81999683,17.185951,13.814097,36.899857,14.658603
,2.0222952,17.018402,17.018402,[[-0.27]],18.7935707305553,,3.8397854e-31,[[0.11]],16.488634,16.525064,46,1.8204718,35.845173,0.9999906,21.366428,17.018402,920,21.366428,7.52750039100647,15.474383,1.1239473,25.56579,19.014393,51.701576,14.461359
,2.237499,16.822498,17.018402,[[-0.273]],18.586614948924023,,4.1348052e-32,[[0.11]],16.495737,16.50356,47,1.2932115,35.996346,0.9999906,16.374947,17.018402,940,16.174799,7.706845045089722,15.233027,1.230659,25.850727,20.78436,57.840973,4.120499
,2.424338,16.741436,17.018402,[[-0.276]],18.5045664120721,,3.1038377e-33,[[0.11]],16.500856,16.482506,48,0.88005203,35.51837,0.9999906,13.635863,17.018402,960,13.2621765,7.884891510009766,15.206941,1.2741146,25.226475,21.478745,61.1575,13.866149
,2.5163522,16.88963,17.018402,[[-0.28]],18.656680578573248,,1.9892863e-35,[[0.11]],16.508791,16.461885,49,-0.19764912,33.600075,0.9999906,12.512829,17.018402,980,6.752553,8.065687417984009,15.211982,1.1902689,23.177668,20.073828,58.323174,15.287976
,2.5032487,16.956493,17.018402,[[-0.286]],18.729342702255096,,,[[0.11]],16.517744,16.441683,50,-2.4005294,32.876923,0.9999906,11.95418,17.018402,1000,11.95418,8.249162435531616,15.253704,1.1415576,22.801523,19.279871,57.07788,17.195734
,3.2508445,16.92305,17.018402,[[-0.299]],18.696239594714417,,2.9756673e-32,[[0.11]],16.525692,16.42188,51,2.3050053,30.562647,0.9999937,7.022944,17.018402,1020,6.8185654,8.434601068496704,15.099199,1.1907396,18.680597,20.092505,60.72772,7.3141212
,3.2603006,16.904903,17.018402,[[-0.277]],18.675926335093042,,4.2318214e-34,[[0.11]],16.532986,16.402462,52,1.393279,30.642658,0.9999937,7.516444,17.018402,1040,5.309165,8.624161958694458,15.011922,1.1967169,19.086975,20.202883,62.22928,10.422366
,3.1480072,16.791592,17.018402,[[-0.282]],18.556030018125554,,8.0692e-38,[[0.11]],16.537863,16.383413,53,-0.6035246,30.149681,0.9999937,8.810728,17.018402,1060,5.2175703,8.814732074737549,14.976004,1.1454375,19.284641,19.337505,60.708187,12.964371
,1.2975526,17.027876,17.027876,[[-0.294]],18.804487157651224,,,[[0.11]],16.546938,16.364721,54,-31.046581,26.414154,0.9999937,0.40344125,17.027876,1080,0.40344125,9.00806450843811,15.040956,0.009875781,0.4109985,0.1680105,0.5332922,18.389635
,1.0349905,17.02489,17.027876,[[-0.421]],18.80190375211537,,,[[0.11]],16.555628,16.346373,55,-28.18876,40.76153,0.9999937,24.517277,17.027876,1100,24.517277,9.221941709518433,14.920426,0.4615231,24.525604,7.8571243,25.38377,9.392842
,1.424906,17.104063,17.104063,[[-0.413]],18.88150242417118,,,[[0.11]],16.565422,16.328354,56,-26.015163,38.785717,0.9999937,28.074394,17.104063,1120,28.074394,9.416259288787842,14.854231,0.8657414,34.02436,14.778432,48.481518,11.82009
,1.0100898,17.080692,17.104063,[[-0.408]],18.85870140126332,,,[[0.11]],16.574461,16.310656,57,-58.065395,47.378384,0.9999937,44.638954,17.104063,1140,44.638954,9.61279034614563,14.809302,0.79106563,44.64033,13.511962,45.09074,12.56193
,1.3163898,17.198256,17.198256,[[-0.529]],18.980121936902297,,,[[0.11]],16.585217,16.293262,58,-57.533455,50.96176,0.9999937,58.729645,17.198256,1160,58.729645,9.813089847564697,14.737609,1.4468545,63.748257,24.832333,83.91756,11.056124
,1.6813297,17.082188,17.198256,[[-0.532]],18.859938153061524,,,[[0.11]],16.593641,16.276169,59,-57.741894,43.014877,0.9999937,32.899605,17.198256,1180,27.855759,10.013293504714966,14.707298,1.3167313,46.20578,22.556955,77.68715,12.878664
,1.9574045,17.064268,17.198256,[[-0.537]],18.84415145418016,,,[[0.11]],16.601482,16.259361,60,-57.72351,39.940975,0.9999937,23.307365,17.198256,1200,23.095812,10.216899633407593,14.685967,1.3072436,40.070724,22.368465,78.434616,13.335771
,2.0783265,17.15961,17.198256,[[-0.542]],18.940220975185152,,,[[0.11]],16.610632,16.242832,61,-58.37162,35.59516,0.9999937,19.177912,17.198256,1220,5.1915474,10.422117233276367,14.686072,1.1127266,32.659122,19.04506,67.87632,14.558292
,2.215605,17.02121,17.198256,[[-0.549]],18.797435822404406,,,[[0.11]],16.617254,16.226572,62,-60.287174,33.778584,0.9999937,17.568523,17.198256,1240,9.005787,10.632899761199951,14.631797,1.0672437,29.865026,18.253925,66.169106,11.321506
,2.3628519,17.012337,17.198256,[[-0.561]],18.789242706412796,,,[[0.11]],16.623528,16.210571,63,-61.728733,33.544556,0.9999937,15.931787,17.198256,1260,14.463758,10.844649076461792,14.678786,1.1112729,29.629532,18.987352,70.01019,17.617058
,2.476473,17.149393,17.198256,[[-0.571]],18.92957551811883,,,[[0.11]],16.631742,16.194822,64,-61.762268,35.084885,0.9999937,19.646769,17.198256,1280,19.646769,11.058856010437012,14.657343,1.2393801,32.029552,21.19557,79.32033,13.283981
,2.6557093,17.15873,17.198256,[[-0.576]],18.938750244013946,,,[[0.11]],16.63985,16.17932,65,-61.92359,34.349586,0.9999937,17.378622,17.198256,1300,11.983973,11.27178144454956,14.668472,1.2505665,30.608328,21.397676,81.28682,15.242523
,2.7719805,17.131268,17.198256,[[-0.581]],18.91113809525195,,,[[0.11]],16.647299,16.164051,66,-62.57233,32.96398,0.9999937,16.335657,17.198256,1320,6.4710364,11.489649057388306,14.63129,1.2011538,28.5991,20.555342,79.276146,12.05446
,2.8855138,17.170038,17.198256,[[-0.589]],18.950858572305556,,,[[0.11]],16.655098,16.149014,67,-63.5877,32.55913,0.9999937,15.834571,17.198256,1340,9.202505,11.706451177597046,14.553831,1.2054886,27.990763,20.63872,80.76773,9.3169
,2.8723059,17.108139,17.198256,[[-0.597]],18.88390661495763,,,[[0.11]],16.66176,16.1342,68,-65.7634,31.384413,0.9999937,16.50012,17.198256,1360,3.704214,11.926519632339478,14.476473,1.1335726,26.836603,19.409187,77.08293,9.159351
,2.7943854,17.08369,17.198256,[[-0.61]],18.863686603726848,,,[[0.11]],16.667877,16.1196,69,-69.61345,30.867245,0.9999937,18.070305,17.198256,1380,7.5860276,12.150115251541138,14.53349,1.0839138,26.764402,18.558094,74.790054,18.340006
,3.057893,17.082117,17.198256,[[-0.631]],18.861016406784394,,,[[0.11]],16.673794,16.105211,70,-68.44024,29.577805,0.9999963,14.527585,17.198256,1400,8.050095,12.40206527709961,14.475145,1.0708828,24.514196,18.329369,74.96179,10.425692
,2.8289468,17.072048,17.198256,[[-0.631]],18.849653988264418,,,[[0.11]],16.679401,16.091026,71,-68.30308,33.99921,0.9999963,23.32275,17.198256,1420,23.32275,12.574402809143066,14.427327,1.2768655,32.04636,21.84044,90.65745,11.058344
,2.969039,17.238289,17.238289,[[-0.635]],19.020613264018664,,,[[0.11]],16.687166,16.07704,72,-68.48251,32.809105,0.9999963,21.262194,17.238289,1440,7.339263,12.80211353302002,14.402132,1.2384523,30.032803,21.197073,89.168564,12.4182
,3.0301175,17.162128,17.238289,[[-0.641]],18.9426497652431,,,[[0.11]],16.693674,16.063246,73,-68.12164,34.745407,0.9999963,19.147083,17.238289,1460,19.147083,13.033062934875488,14.370321,1.3645214,32.873333,23.367441,99.61006,11.911651
,3.1939936,16.994682,17.238289,[[-0.644]],18.771734742703334,,,[[0.11]],16.69774,16.04964,74,-67.854614,33.825012,0.9999963,17.368382,17.238289,1480,8.672773,13.266929149627686,14.384462,1.3457571,31.179157,23.03082,99.58603,15.13525
,3.2789729,17.175564,17.238289,[[-0.648]],18.95756162577765,,,[[0.11]],16.704111,16.036219,75,-67.744774,32.601276,0.9999963,16.398794,17.238289,1500,4.498921,13.502415895462036,14.416654,1.2903903,29.515118,22.086832,96.77927,16.526157
,3.3589199,17.078129,17.238289,[[-0.652]],18.85797869953397,,,[[0.11]],16.709032,16.022972,76,-67.80668,31.959257,0.9999963,15.88212,17.238289,1520,6.000326,13.739425897598267,14.405759,1.2676932,28.683233,21.695072,96.34468,13.361764
,3.4121659,17.079575,17.238289,[[-0.657]],18.85733705550643,,,[[0.11]],16.713844,16.009901,77,-67.96241,31.499424,0.9999963,15.703346,17.238289,1540,5.8308043,13.979207277297974,14.44626,1.2503524,28.215841,21.395409,96.27713,17.314878
,3.3613925,17.11895,17.238289,[[-0.663]],18.89953259852986,,,[[0.11]],16.719038,15.996997,78,-68.27367,30.46061,0.9999963,15.722572,17.238289,1560,1.571934,14.23720669746399,14.470847,1.180733,27.39852,20.203974,92.097176,16.168541
,3.3353713,17.064209,17.238289,[[-0.669]],18.843994589556196,,,[[0.11]],16.723408,15.984258,79,-68.659004,29.823864,0.9999963,15.893256,17.238289,1580,3.4422324,14.485238075256348,14.5424385,1.1389849,26.977448,19.487211,89.979805,19.995773
,3.2680163,17.044472,17.238289,[[-0.675]],18.822211034469902,,,[[0.11]],16.72742,15.97168,80,-69.266975,29.10274,0.9999963,16.128935,17.238289,1600,2.4197912,14.730591773986816,14.508891,1.0845158,26.548601,18.553043,86.76126,11.766538
,3.213169,17.093752,17.238289,[[-0.683]],18.872542069409672,,,[[0.11]],16.731943,15.959257,81,-69.984795,28.579727,0.9999963,16.375525,17.238289,1620,3.5727665,14.980536222457886,14.467026,1.0434598,26.304323,17.849955,84.52024,11.077039
,3.1962764,17.127977,17.238289,[[-0.69]],18.908536266255958,,,[[0.11]],16.736773,15.946987,82,-70.70382,28.547743,0.9999992,16.576393,17.238289,1640,6.654379,15.236869096755981,14.510042,1.0381795,26.634342,17.761261,85.13072,17.992779
,3.1786575,17.05628,17.238289,[[-0.698]],18.833818305098923,,,[[0.11]],16.740623,15.934865,83,-71.5956,28.605213,0.9999992,16.776798,17.238289,1660,7.381041,15.499490737915039,14.521664,1.0383154,27.112133,17.758942,86.18018,15.478304
,3.1268153,17.058811,17.238289,[[-0.707]],18.836267216708897,,,[[0.11]],16.744411,15.92289,84,-72.83939,28.351322,0.9999992,17.109812,17.238289,1680,5.7120204,15.759029626846313,14.466682,1.0131357,27.217276,17.325222,85.10339,9.907339
,3.016291,17.044533,17.238289,[[-0.717]],18.82182873324925,,,[[0.11]],16.74794,15.911055,85,-74.55977,27.979424,0.9999992,17.72397,17.238289,1700,4.8079076,16.015194416046143,14.468199,0.9679303,27.276573,16.5493,82.27408,14.624215
,2.9746056,17.160116,17.238289,[[-0.729]],18.940040636843335,,,[[0.11]],16.752733,15.899359,86,-76.0842,28.915245,0.9999992,17.482866,17.238289,1720,13.565821,16.274132251739502,14.432921,1.0126947,29.278418,17.324944,87.09174,11.507054
,2.785048,17.173805,17.238289,[[-0.74]],18.95351726512679,,,[[0.11]],16.757574,15.887798,87,-78.348495,27.70692,0.9999992,17.435047,17.238289,1740,0.7964875,16.534189701080322,14.44314,0.89580613,27.983408,15.327753,77.935135,15.356
,2.725986,17.18987,17.238289,[[-0.754]],18.971323492926402,,,[[0.11]],16.762487,15.876369,88,-80.741165,28.759768,0.9999992,16.69102,17.238289,1760,16.045689,16.796828269958496,14.456379,0.9407112,30.367943,16.112389,82.782585,15.7534485
,2.564398,17.1713,17.238289,[[-0.769]],18.95233203774249,,,[[0.11]],16.767078,15.865069,89,-87.57278,27.984749,0.9999992,15.479835,17.238289,1780,13.785011,17.0625638961792,14.447002,0.84815097,29.435926,14.540433,75.485435,13.729173
,2.9806044,17.083202,17.238289,[[-0.801]],18.8631431102607,,,[[0.11]],16.770592,15.853896,90,-82.2891,28.004848,0.9999992,13.197401,17.238289,1800,10.956766,17.32740330696106,14.461438,0.9596351,28.97639,16.437874,86.36716,15.94245
,2.2224321,17.093037,17.238289,[[-0.785]],18.869077550638014,,,[[0.11]],16.774136,15.842847,91,-125.24155,15.704339,0.9999992,0.25537196,17.238289,1820,0.012985863,17.62141752243042,14.254789,0.011160009,0.45695925,0.19134389,1.0155609,-4.2610483
,1.0092503,17.139963,17.238289,[[-0.923]],18.91708785395171,,,[[0.11]],16.77811,15.831918,92,-124.363045,52.402786,0.9999992,97.017746,17.238289,1840,97.017746,17.893080472946167,14.229605,1.064305,97.0186,18.2422,97.91605,12.921349
,1.4226791,17.042208,17.238289,[[-0.924]],18.818731044902442,,,[[0.11]],16.78095,15.821107,93,-123.987785,42.587387,0.9999992,52.009357,17.238289,1860,47.13033,18.1643488407135,14.24631,1.0737087,70.187935,18.353827,99.854904,16.047964
,1.7376479,17.160677,17.238289,[[-0.927]],18.93862261327586,,,[[0.11]],16.78499,15.810411,94,-123.92727,38.59503,0.9999992,36.88575,17.238289,1880,33.95046,18.439445734024048,14.217077,1.0956533,59.270588,18.754084,102.99141,11.631264
